a bit much;kakra pii
autonomy;ahofadi a obi wɔ
autophagy;autophagy a wɔde di dwuma
autopilot;autopilot a ɔde ne ho hyɛ mu
autopsy;funu mu nhwehwɛmu
autosome;autosome a ɛwɔ nipadua no mu
autotomy;autotomy a wɔde yɛ adwuma
autotroph;autotroph a ɛma obi nya ne ho
autotrophic;autotrophic a ɛma obi nya ne ho
autumn;ɔtum
autumnal equinox;osutɔbere mu anadwo a ɛyɛ pɛ
autumnal;osutɔbere mu
auxiliary language;kasa a ɛboa
auxiliary verb;adeyɛ asɛm a ɛboa
auxiliary;aboafo
auxin;auxin a wɔde yɛ adwuma
avail;avail
availability;a ɛwɔ hɔ
available;wɔ hɔ
avalanche;asukɔtweaa a ɛtɔ
avant-garde;avant-garde a wɔde di dwuma
Avar;Avar
avarice;adifudepɛ
avaricious;adifudepɛfo
avatar;avatar a wɔde di dwuma
Avellino;Avellino na ɔkyerɛwee
avenge;aweredi
avenger;aweredifo
aventurine;aventurine a wɔde yɛ nneɛma
avenue;avenue a ɛwɔ hɔ
aver;aver
average;adantam
averse;averse
aversion therapy;aduruyɛ a wɔde yɛ akyide
aversion;akyide
avert;avert
Avestan;Avestan kasa
avian influenza;nnomaa atiridiinini
avian;nnomaa
aviary;nnomaa adwumayɛbea
aviation;wimhyɛn akwantu
aviator;wimhyɛnkafo
Avicenna;Avicenna na ɔkyerɛwee
aviculture;nnomaa a wɔyɛn wɔn
avid;avid
Avignon;Avignon na ɛwɔ hɔ
Avilés;Avilés na ɔkyerɛwee
avitaminosis;avitaminosis a ɛwɔ nipadua no mu
avocado;avocado a wɔde afrafra
avocation;avocation a wɔde yɛ adwuma
avocet;avocet a wɔde di dwuma
Avogadro's number;Avogadro nɔma no
avoid;po
avoidable;wobetumi akwati
avow;avow a wɔka kyerɛ
avowal;avowal a wɔka kyerɛ
avulsion;avulsion a ɛyɛ hu
await;twɛn
awake;anyane
awaken;nyane
awakening;nyane a wɔsɔre
award;abasobɔdeɛ
aware;nim
awareness;nim
awash;awash
away;akyirikyiri
awe;ahodwiriw
awesome;kama
awestruck;ehu kaa no
awful;nyɛ koraa
awfully;a ɛyɛ hu
awhile;bere tiaa bi
awkward;nwanwa
awkwardness;fɛre a ɛyɛ fɛ
awl;awl
awning;awning a wɔde yɛ adwuma
AWOL;AWOL na ɛyɛ
awry;awry
axe;agyan
axial;axial a ɛyɛ adwuma
axil;axil
axillary;axillary a ɛwɔ akyi
axinite;axinite a wɔde yɛ nneɛma
axiom;axiom a ɛyɛ asɛm
axiomatic;axiomatic a ɛyɛ axiomatic
axiomatically;wɔ axiomatic kwan so
axis of evil;axis a ɛyɛ bɔne
axis of symmetry;axis a ɛwɔ symmetry mu
Axis power;Axis tumi
axis;axis a ɛwɔ hɔ
axle;aksel
axolotl;axolotl
axon;axon a ɛwɔ nipadua no mu
ayatollah;ayatollah na ɔyɛ
aye;aye
Aymara;Aymara
Ayurveda;Ayurveda a wɔde di dwuma
azalea;azalea a wɔfrɛ no azalea
Azawad;Azawad na ɔkyerɛwee
Azerbaijan SSR;Azerbaijan SSR na ɛwɔ hɔ
Azerbaijan;Azerbaijan na ɛwɔ hɔ
Azerbaijani;Azerbaijan kasa mu
Azeri;Azeri na ɔkyerɛwee
azide;azide a wɔde yɛ adwuma
azimuth;azimuth a wɔde yɛ adwuma
azimuthal;azimuthal a wɔde di dwuma
Azores;Azores
azotemia;azotemia a ɛwɔ nipadua no mu
Azrael;Azrael na ɔkyerɛwee
azuki bean;azuki bean a ɛyɛ fɛ
azure;azure a ɛyɛ fɛ
azurite;azurite a wɔde yɛ nneɛma
