a;that
a ɛda mpan;vacant
a ɛda nsow;eminently
a ɛda nsow;markedly
a ɛda nsow;notable
a ɛda nsow;prominently
a ɛda nsɛm adi;expressive
a ɛdaadaa nkurɔfo;misleading
a ɛdaadaa nkurɔfo;seductive
a ɛdannan ne ho;capsize
a ɛde mpaapaemu ba;divisive
a ɛde ne ho;independently
a ɛde ɔyare ba;pathogenic
a ɛdɔɔso;prolific
a ɛfa asetra ho;pro-life
a ɛfa ho;applicable
a ɛfa ho;pertinent
a ɛfa ɔkwan a wɔfa so yɛ adwuma;conductive
a ɛfata;apposite
a ɛfata;conducive
a ɛfata;deserving
a ɛfata;justified
a ɛfata nkamfo;commendably
a ɛfata nkamfo;praiseworthy
a ɛfifi;germinate
a ɛfifi;germination
a ɛhaw adwene;bothersome
a ɛhaw adwene;disruptive
a ɛhaw adwene;distressing
a ɛhaw adwene;disturbing
a ɛhaw adwene;upsetting
a ɛhaw adwene;vexatious
a ɛhaw adwene;vexed
a ɛhaw adwene;worrying
a ɛho agu fĩ;soiled
a ɛho ayɛ fĩ;bloated
a ɛho hia kɛse;substantial
a ɛho nhia;deficient
a ɛho nhia;indispensable
a ɛho nhia;insignificant
a ɛho nhia;irrelevant
a ɛho nhia;superfluously
a ɛho nhia;unimportant
a ɛho nhia;unnecessarily
a ɛho nhia;unnecessary
a ɛho nhia;unneeded
a ɛho ntew;impurely
a ɛho tew;cleanly
a ɛho tew-twitwa;clean-cut
a ɛhyerɛn;glittering
a ɛhyerɛn;glossy
a ɛhyerɛn;shining
a ɛhyerɛn;shiny
a ɛhyerɛn;sparkling
a ɛhyɛ abufuw;irritating
a ɛhyɛ ase;underlying
a ɛhyɛ bɔ;promising
a ɛhyɛ nkuran;compelling
a ɛhyɛ nkuran;encouraging
a ɛhyɛ nkuran;heartening
a ɛka;affecting
a ɛka bom;cohesive
a ɛka bom;overlap
a ɛka bom;overlapping
a ɛka ho;affectable
a ɛka ho;including
a ɛka koma;poignancy
a ɛka koma;poignant
a ɛkanyan adwene;persuasive
a ɛkanyan akɔnnɔ;provocative
a ɛkanyan no;motivated
a ɛko tia;resistant
a ɛko tia ahohoro;antilaundering
a ɛko tia atubrafo;anticolonial
a ɛko tia mmoawa;bacteriostatic
a ɛko tia nneɛma bo a ɛkɔ soro;anti-inflationary
a ɛko tia onyin;anti-aging
a ɛkorɔn;high-class
a ɛkorɔn;lofty
a ɛkorɔn a ɛyɛ oblique;superior oblique
a ɛkorɔn anum;high five
a ɛkorɔn sen biara;highly
a ɛkorɔn sen biara;sublime
a ɛkorɔn sen biara;supreme
a ɛkorɔn-beam;high-beam
a ɛkyere adwene;catchy
a ɛkyerɛ biribi;indicative
a ɛkyerɛ biribi;suggestive
a ɛkyerɛ sɛ obi anya yare no ho sɛnkyerɛnne;symptomatic
a ɛkyerɛ sɛ obi yɛ ade;identifier
a ɛkyerɛkyerɛ;instructive
a ɛkyinkyini;rotational
a ɛkyɛn so;excellently
a ɛkɔ akyiri;detailed
a ɛkɔ akyiri;inclined
a ɛkɔ fam;downhill
a ɛkɔ mmeae afoforo;metastatic
a ɛkɔ soro;ascendancy
a ɛkɔ soro;increasable
a ɛma abotɔyam;satisfactory
a ɛma ahoɔden;refreshing
a ɛma denhyɛ;constructive
a ɛma hann te nka;photosensitive
a ɛma obi dadwen;anxiogenic
a ɛma obi ho hyehye no;inflammatory
a ɛma obi ho popo;convulsive
a ɛma obi ho yɛ hyew;expectorant
a ɛma obi nya adwenem naayɛ;hallucinogenic
a ɛma obi yɛ ade tra so;addictive
a ɛma wonya sika pii;lucrative
a ɛne bible nhyia;unbiblical
a ɛne dɔn no bɔ abira;against the clock
a ɛne dɔn no bɔ abira;anticlockwise
a ɛne mmara hyia;compliant
a ɛne ne ho hyia;coherent
a ɛne ne ho nhyia;incoherence
a ɛne ne ho nhyia;incoherent
a ɛne ne ho nhyia;incompatibility
a ɛne ne ho nhyia;incompatible
a ɛne ne ho nhyia;inharmonicity
a ɛne no hyia;commensurate
a ɛne no hyia;corresponding
a ɛne no nni abusuabɔ;unrelated
a ɛne nsɛm a ɛfa ho no nhyia;out of context
a ɛne sɛ;namely
a ɛne ɔhaw ahorow nyinaa bɔ abira;against all odds
a ɛne ɔman anidan a ɛko tia;counterrevolutionary
a ɛne ɔman mmara nhyia;unconstitutionally
a ɛnkari pɛ;unbalance
a ɛnkari pɛ;unbalanced
a ɛnkeka ne ho;motionless
a ɛnne nnim;voiceless
a ɛnnɔɔso;inadequate
a ɛnsakra;immutable
a ɛnsow aba;unfruitful
a ɛnyɛ aban de;unofficial
a ɛnyɛ aban de a wɔde kata so;non-official cover
a ɛnyɛ abɔde mu nneɛma;inorganic
a ɛnyɛ adamfofa su;unfriendly
a ɛnyɛ adwuma;inactive
a ɛnyɛ adwuma;out of service
a ɛnyɛ adwuma yiye;dysfunctional
a ɛnyɛ ahinanan;nonagonal
a ɛnyɛ ahyehyɛde ahorow;extrainstitutional
a ɛnyɛ akansi;non-compete
a ɛnyɛ anifere;uncouth
a ɛnyɛ anigye;ingratiate
a ɛnyɛ anigye;unlucky
a ɛnyɛ asase so;landlocked
a ɛnyɛ asymptotic;asymptotic
a ɛnyɛ asɔre ahorow;nondenominational
a ɛnyɛ asɛm;non-issue
a ɛnyɛ asɛnnibea;extrajudicial
a ɛnyɛ awoda;unbirthday
a ɛnyɛ awudi;nonkilling
a ɛnyɛ awuduru;non-venomous
a ɛnyɛ bere so;unpunctual
a ɛnyɛ bɔne;benign
a ɛnyɛ bɔne;inoffensive
a ɛnyɛ daa;irregularly
a ɛnyɛ dade;nonmetal
a ɛnyɛ den koraa;seamless
a ɛnyɛ dɛ;insipid
a ɛnyɛ dɛ;tasteless
a ɛnyɛ dɛ;tastelessness
a ɛnyɛ dɛ;uncomfortable
a ɛnyɛ dɛ;uncomfortably
a ɛnyɛ dɛ;unpalatable
a ɛnyɛ dɛ;unpleasant
a ɛnyɛ fɛ;inelegant
a ɛnyɛ fɛ;ungainly
a ɛnyɛ fɛ;unsightly
a ɛnyɛ hwee;frivolous
a ɛnyɛ hwee;impassive
a ɛnyɛ hwee;inessive
a ɛnyɛ kasa mmara;ungrammatical
a ɛnyɛ mmerɛw;inconvenient
a ɛnyɛ ne kwan so;abnormal
a ɛnyɛ ne kwan so;abnormality
a ɛnyɛ nea abotɔyam wom;unsatisfactory
a ɛnyɛ nea ahoɔden wom;insalubrious
a ɛnyɛ nea nkannare ntumi nkɔ mu;rustproof
a ɛnyɛ nea nsu ntumi nkɔ mu;impermeable
a ɛnyɛ nea wɔahyehyɛ no yiye;untidy
a ɛnyɛ nea wɔahyɛ no ma;unsaturated
a ɛnyɛ nea wɔde di dwuma;intransitive
a ɛnyɛ nea wɔde di dwuma;unwieldy
a ɛnyɛ nea wɔpɛ;involuntary
a ɛnyɛ nea wɔtaa yɛ;out of the ordinary
a ɛnyɛ nea ɛda adi pefee;indistinct
a ɛnyɛ nea ɛda adi pefee;indistinctly
a ɛnyɛ nea ɛfa ho;inapplicable
a ɛnyɛ nea ɛfa ho;irrespective
a ɛnyɛ nea ɛfata;unconducive
a ɛnyɛ nea ɛfata;unfit
a ɛnyɛ nea ɛfata;unseemly
a ɛnyɛ nea ɛfata;unsuitable
a ɛnyɛ nea ɛfata;ununquadium
a ɛnyɛ nea ɛho hia;immaterial
a ɛnyɛ nea ɛho hia;insubstantial
a ɛnyɛ nea ɛho hia;insubstantiality
a ɛnyɛ nea ɛhyerɛn;lackluster
a ɛnyɛ nea ɛhyɛ bɔ;unpromising
a ɛnyɛ nea ɛka ho;without exception
a ɛnyɛ nea ɛmfata;impertinent
a ɛnyɛ nea ɛne ne ho nhyia;incoherently
a ɛnyɛ nea ɛne ne ho nhyia;incongruous
a ɛnyɛ nea ɛne ne ho nsɛ;dissimilar
a ɛnyɛ nea ɛnteɛ;out of tune
a ɛnyɛ nea ɛsakra;invariably
a ɛnyɛ nea ɛtaa ba;uncommonly
a ɛnyɛ nea ɛtumi nwura mu;insoluble
a ɛnyɛ nea ɛtwetwe adwene;unobtrusive
a ɛnyɛ nea ɛwɔ achromatic;achromatic
a ɛnyɛ nea ɛwɔ nipadua no mu;amorphous
a ɛnyɛ nea ɛyɛ hyew;inoxidizable
a ɛnyɛ nea ɛyɛ komm;unsettling
a ɛnyɛ nea ɛyɛ mmerɛw;inflexible
a ɛnyɛ nipasu;impersonal
a ɛnyɛ nipasu;impersonally
a ɛnyɛ nnipa de;inhuman
a ɛnyɛ nnipa de;inhumane
a ɛnyɛ nokware;inaccurate
a ɛnyɛ nokware;invalidate
a ɛnyɛ nokware;unrealistic
a ɛnyɛ nokware;untruthful
a ɛnyɛ nwonwa;uncanny
a ɛnyɛ papa;inclement
a ɛnyɛ papa;unfavorable
a ɛnyɛ papa;untoward
a ɛnyɛ pɛ;unequal
a ɛnyɛ pɛpɛɛpɛ;erratic
a ɛnyɛ pɛpɛɛpɛ;imprecise
a ɛnyɛ pɛpɛɛpɛ;inexact
a ɛnyɛ ɔkwan biara so;informal
a ɛnyɛ ɔkwan biara so;informality
a ɛnyɛ ɔmanfo de;incivil
a ɛpae;explosive
a ɛpaepae;outburst
a ɛporɔw;decomposition
a ɛreba;forthcoming
a ɛreba;impending
a ɛreba;upcoming
a ɛrebubu;smashing
a ɛrebɛn;imminent
a ɛredi akɔneaba;circulating
a ɛrehyerɛn;flashing
a ɛrekɔ fam;waning
a ɛrekɔ soro;rising
a ɛrekɔ soro;soaring
a ɛrentumi nyɛ yiye;impossibility
a ɛrentumi nyɛ yiye;impossibly
a ɛrenya nkɔanim;increasing
a ɛrenyin;growing
a ɛrepue;emerging
a ɛresɛe kɛse;worsening
a ɛretu;moving
a ɛreworo so;dripping
a ɛrewuwu;moribund
a ɛsakra;changeable
a ɛsakrasakra;variably
a ɛsan ba bio;recurrence
a ɛsan ba bio;recurrent
a ɛsan ba bio;recurring
a ɛsensɛn nsu so;afloat
a ɛsensɛn nsu so;floating
a ɛsom bo;priceless
a ɛsom bo kɛse;invaluable
a ɛsono emu biara;disparate
a ɛsono emu biara;heterogeneous
a ɛsow aba;fruitful
a ɛsow aba;productive
a ɛsɛe ade;damaging
a ɛsɛe ade;detrimental
a ɛte sɛ nea ɛte saa;ostensibly
a ɛte sɛ onipa;humanoid
a ɛtoatoa so;consecutive
a ɛtoatoa so;contiguous
a ɛtoatoa so;in series
a ɛtra hɔ kyɛ;durability
a ɛtra hɔ kyɛ;durable
a ɛtra hɔ kyɛ;lasting
a ɛtra hɔ kyɛ;long-lived
a ɛtrɛw;broadness
a ɛtrɛw;enlarger
a ɛtrɛw;extensive
a ɛtrɛw;pervasive
a ɛtrɛw;pervasiveness
a ɛtrɛw;spacious
a ɛtrɛw;spaciously
a ɛtrɛw;wide open
a ɛtrɛwee;widespread
a ɛtumi fa nsuo mu;permeable
a ɛtumi nwura mu;solubility
a ɛtwe adwene si so;highlighter
a ɛtwetwe adwene;alluring
a ɛtwetwe adwene;dissuasive
a ɛtwetwe adwene;enticing
a ɛtwetwe nneɛma;absorbing
a ɛwɔ abansoro abien;double-decker
a ɛwɔ abɔnten so;open-air
a ɛwɔ afã abien;two-dimensional
a ɛwɔ afã abiɛsa;three-dimensional
a ɛwɔ afã abiɛsa;three-pronged
a ɛwɔ afã anan;four-dimensional
a ɛwɔ afã awotwe;octahedral
a ɛwɔ afã biako;unicameral
a ɛwɔ afã horow pii;multidimensional
a ɛwɔ akyi berɛmo mu;peritoneal
a ɛwɔ anuonyam;prestigious
a ɛwɔ asase so akyi;extraterrestrial
a ɛwɔ asɛnka agua biako so;single-platform
a ɛwɔ baabiara;omnipresent
a ɛwɔ baabiara;ubiquitous
a ɛwɔ honam ani;subcutaneous
a ɛwɔ hɔ;availability
a ɛwɔ hɔ;existent
a ɛwɔ hɔ;situated
a ɛwɔ hɔ dedaw;extant
a ɛwɔ kɔla ahorow pii;polychromatic
a ɛwɔ kɔla biako;monochromatic
a ɛwɔ kɔla biako;monochromator
a ɛwɔ kɔla biako;monochrome
a ɛwɔ nipadua no mu;parthenocarpic
a ɛwɔ nkwammoaa akyi;extracellular
a ɛwɔ nkɛntɛnso;influential
a ɛwɔ nnompe mu;intraosseous
a ɛwɔ nnua abien;dicotyledonous
a ɛwɔ nsɛso ahorow pii;polymorphous
a ɛwɔ ntwahonan anan;four-wheel drive
a ɛwɔ soro;surficial
a ɛwɔ ti abiɛsa;three-headed
a ɛwɔ tumi mu;in force
a ɛyɛ abofono;distasteful
a ɛyɛ abofono;obnoxious
a ɛyɛ abofono;repulsive
a ɛyɛ abufuw;infuriating
a ɛyɛ adwenem naayɛ;obfuscate
a ɛyɛ adwuma;functional
a ɛyɛ ahabammono;greenish
a ɛyɛ ahabammono daa;evergreen
a ɛyɛ ahodwiriw;shocking
a ɛyɛ ahohorabɔ;defamatory
a ɛyɛ ahorow ahorow;variegated
a ɛyɛ ahurututu;foamy
a ɛyɛ akontaahyɛde abien;double-digit
a ɛyɛ akyirikyiri;far-fetched
a ɛyɛ akɔnnɔ;appetizing
a ɛyɛ aniberesɛm;glaring
a ɛyɛ anigye;engrossing
a ɛyɛ anigye;intriguing
a ɛyɛ anigye;pleasing
a ɛyɛ anigye;ravishing
a ɛyɛ animtiaabu;denigratory
a ɛyɛ animtiaabu;execrable
a ɛyɛ animtiaabu;reprehensible
a ɛyɛ asotiw;deafening
a ɛyɛ atoko;leguminous
a ɛyɛ atɛkyɛ;strait
a ɛyɛ awerɛhow;deplorable
a ɛyɛ awerɛhow;forlornly
a ɛyɛ awerɛhow;grimly
a ɛyɛ awerɛhow;harrowing
a ɛyɛ awerɛhow;sullen
a ɛyɛ awerɛhow;traumatic
a ɛyɛ basaa;confusing
a ɛyɛ basaa;frenetic
a ɛyɛ basaa;restive
a ɛyɛ basabasa;violaceous
a ɛyɛ borɔdɔma;orangish
a ɛyɛ bruu;brownish
a ɛyɛ cacuminous;cacuminous
a ɛyɛ dede;shrill
a ɛyɛ den;arduous
a ɛyɛ den;challenging
a ɛyɛ den;complicate
a ɛyɛ den;exacting
a ɛyɛ den;hardening
a ɛyɛ den;rugged
a ɛyɛ den;strained
a ɛyɛ den;strenuous
a ɛyɛ den;strident
a ɛyɛ den;sturdy
a ɛyɛ den;thickening
a ɛyɛ den;thickness
a ɛyɛ den sɛ ɛbɛhyew;refractory
a ɛyɛ den te sɛ akorɔmfo;thick as thieves
a ɛyɛ diamagnetic;diamagnetic
a ɛyɛ diamond a ɛyɛ diamond;diamondiferous
a ɛyɛ dɛ;palatable
a ɛyɛ dɛ;savory
a ɛyɛ elliptical;elliptical
a ɛyɛ fitaa;grayish
a ɛyɛ flummoxed;flummoxed
a ɛyɛ foforo;fledgling
a ɛyɛ foforo;up-to-date
a ɛyɛ fɛ;glamorous
a ɛyɛ fɛ;scenic
a ɛyɛ fɛ;sleek
a ɛyɛ fɛ;sumptuous
a ɛyɛ fɛ yiye;exquisite
a ɛyɛ fɛwdi;ludicrous
a ɛyɛ gyinaesi;decisive
a ɛyɛ heterozygous;heterozygous
a ɛyɛ hihiaa;cramped
a ɛyɛ hu;alarming
a ɛyɛ hu;awfully
a ɛyɛ hu;daunting
a ɛyɛ hu;ghastly
a ɛyɛ hu;gruesome
a ɛyɛ hu;horrify
a ɛyɛ hu;stinky
a ɛyɛ huam;aromatic
a ɛyɛ huam;malodorous
a ɛyɛ hwerɛma;slippery
a ɛyɛ hyew;combustible
a ɛyɛ hyew;heated
a ɛyɛ hyew;inflammable
a ɛyɛ hyew;lukewarm
a ɛyɛ hyew;sweltering
a ɛyɛ hyew;vibrant
a ɛyɛ kasafĩ;garrulous
a ɛyɛ katee;drastic
a ɛyɛ katee;stringent
a ɛyɛ ketewaa bi;minimalist
a ɛyɛ komm;placid
a ɛyɛ komm;placidity
a ɛyɛ komm;quiescent
a ɛyɛ krim;creamy
a ɛyɛ kronkron;crooked
a ɛyɛ kurukuruwa;crusty
a ɛyɛ kurukuruwa;cylindrical
a ɛyɛ kurukuruwa;orbicular
a ɛyɛ kurukuruwa;spherical
a ɛyɛ kurukuruwa fã;semicircular
a ɛyɛ kusuu;blurred
a ɛyɛ kyinhyia;circuitous
a ɛyɛ kɔkɔɔ;purplish
a ɛyɛ kɛse;exacerbation
a ɛyɛ kɛse;large-scale
a ɛyɛ lopsided;lopsided
a ɛyɛ mmepɔwmmepɔw;steepness
a ɛyɛ mmerɛw;crunchy
a ɛyɛ mmerɛw;exhaustible
a ɛyɛ mmerɛw;incisive
a ɛyɛ mmerɛw;pliable
a ɛyɛ mmerɛw;pulverulent
a ɛyɛ mmerɛw;scrawny
a ɛyɛ mmerɛw;shrivel
a ɛyɛ mmerɛw;simplistic
a ɛyɛ mmerɛw;softening
a ɛyɛ mmerɛw;supple
a ɛyɛ mmerɛw sɛ wobenya bi;susceptible
a ɛyɛ mmerɛw sɛ ɛbɛsɛe;corrosive
a ɛyɛ mmuaema;responsive
a ɛyɛ monotonic;monotonic
a ɛyɛ ne dea;belonging
a ɛyɛ ne dea;proprietary
a ɛyɛ nea asiane biara nni ho;precarious
a ɛyɛ nea edi mũ;exhaustive
a ɛyɛ nea wotumi te ase;intuitive
a ɛyɛ nea wɔpɛ;discretionary
a ɛyɛ nea ɛba fam;low-resolution
a ɛyɛ nea ɛyɛ hyew;volatile
a ɛyɛ nnam;dynamic
a ɛyɛ nnam;lively
a ɛyɛ nnam;sticky
a ɛyɛ nnyigyei a ɛyɛ dɛ;rhythmic
a ɛyɛ nsakrae;fickle
a ɛyɛ nsensanee;jagged
a ɛyɛ nsensanee;scaly
a ɛyɛ nsensanee;striped
a ɛyɛ nsuo a ɛyɛ hyew;steaming
a ɛyɛ ntanta;convoluted
a ɛyɛ ntua;invasive
a ɛyɛ nwini;evaporate
a ɛyɛ nwini;viscous
a ɛyɛ nwininwini;wrinkled
a ɛyɛ nwononwono;bittersweet
a ɛyɛ nwonwa;baffling
a ɛyɛ nwonwa;breathtaking
a ɛyɛ nwonwa;captivating
a ɛyɛ nwonwa;captivatingly
a ɛyɛ nwonwa;eccentric
a ɛyɛ nwonwa;estrange
a ɛyɛ nwonwa;exotic
a ɛyɛ nwonwa;extravaganza
a ɛyɛ nwonwa;impressionable
a ɛyɛ nwonwa;incredibly
a ɛyɛ nwonwa;magniloquent
a ɛyɛ nwonwa;startling
a ɛyɛ nwonwa;striking
a ɛyɛ nwonwa sɛ;curiously
a ɛyɛ nwunu;dryness
a ɛyɛ nwunu;parched
a ɛyɛ nwunu;wilted
a ɛyɛ oxidizable;oxidizable
a ɛyɛ papa;auspicious
a ɛyɛ papa;favourable
a ɛyɛ pubescent;pubescent
a ɛyɛ pɛ;homogeneous
a ɛyɛ pɛ;homogeneously
a ɛyɛ pɛ;in common
a ɛyɛ resonant;resonant
a ɛyɛ siliceous;siliceous
a ɛyɛ skewed;skewed
a ɛyɛ squeaky;squeaky
a ɛyɛ stagnant;stagnant
a ɛyɛ su;tendentious
a ɛyɛ sum;bleak
a ɛyɛ sum kabii;obscurity
a ɛyɛ terraqueous;terraqueous
a ɛyɛ ticklish;ticklish
a ɛyɛ tingling;tingling
a ɛyɛ tortuous;tortuous
a ɛyɛ translucent;translucent
a ɛyɛ trapezoid a ɛyɛ trapezoid;trapezoid
a ɛyɛ tratraa;slender
a ɛyɛ tẽẽ;perpendicular
a ɛyɛ tẽẽ;perpendicularly
a ɛyɛ yaw;agonizing
a ɛyɛ yaw;bitterly
a ɛyɛ yaw;dolorous
a ɛyɛ yaw;excruciate
a ɛyɛ yaw;excruciating
a ɛyɛ yaw;painstaking
a ɛyɛ yaw;pungent
a ɛyɛ yaw;scathing
a ɛyɛ ɔbrɛ;gruelling
a ɛyɛ ɔbrɛ;tedious
a-ɔtopae;A-bomb
a.y.b;BC
aachen;Aachen
aah;aah
aalenian a ɔyɛ ɔkyerɛwfo;Aalenian
aalii;aalii
aane;positive
aane;yeah
aane;yes
aardvark na ɛyɛ;aardvark
aardwolf a wɔde di dwuma;aardwolf
aaron;Aaron
aaron;Aaronic
ab mfiase;ab initio
aba;grade
aba;nut
aba;rod
aba;score
aba;seed
aba a wɔyɛ no yiye;productivity
aba amoa;seed pit
abaawa;maid
abaawa a ɔyɛ ɔbea;maidservant
abaawa dedaw;old maid
abaayewa;girl
ababaa;damsel
ababaa;maiden
ababaa a ɔwɔ ahokyere mu;damsel in distress
ababaa akwantu;maiden voyage
ababaa din;maiden name
ababaabere;maidenhood
abaca;abaca
abacist a wɔde di dwuma;abacist
aback;aback
abacus;abacus
abadan;Abadan
abadiakyire;assistant
abadiakyiri;deputy
abaduaba;doll
abaft;abaft
abakan;firstborn
abakan a wɔawo no;lastborn
abakɔn;wrist
abakɔn kawa;bracelet
abakɔsɛm;history
abakɔsɛm a edi kan;prehistory
abakɔsɛm ho nsɛm;historicism
abakɔsɛm kyerɛwfo;historian
abakɔsɛm kyerɛwfo;historiographer
abakɔsɛm mu bere a atwam;past historic tense
abakɔsɛm mu de;ahistorical
abakɔsɛm mu no;historically
abakɔsɛm mu nsɛm;chronicle
abakɔsɛm mu nsɛm;historic
abakɔsɛm mu nsɛm;historical
abakɔsɛm nhoma ahorow;annals
abalone;abalone
abam abu;disillusioned
abam bu;disappoint
abam bu;discourage
abam bu;dishearten
aban;government
aban a wɔde wɔn ho ahyɛ mu;federalization
aban a ɛwɔ ɔman no mu;federal government
aban a ɛwɔ ɔman no mu;federal
aban ananmusifo;consular
aban ananmusifo dwumadibea;consulate
aban ananmusifo dwumadibea;embassy
aban ananmusifo dwumadibea kɛse;consulate general
aban asoɛe a ɛhwɛ aban so;House of Commons
aban aware a wɔyɛ;civil marriage
aban dea;governmental
aban krataa;government bond
aban mpanyimfo ahyɛde;executive order
aban mpanyimfo anim;official cover
aban mu mpanimfoɔ;cabinet
aban no agua;seat of government
aban panyin;head of government
aban titiriw;central government
abankɛse;fort
abankɛse;fortress
abankɛse a wɔde hyɛ mu;fortification
abankɛse a ɛrehuruhuruw;bouncing castle
abankɛse a ɛwɔ wim;castle in the air
abankɛse a ɛyɛ den;bastion
abankɛse a ɛyɛ den;stronghold
abankɛse kɛse;mansion
abansoro;castle
abansoro a edi kan;first floor
abansoro a ɛwɔ abansoro so;steeple
abansoro dan a ɛwɔ soro;upper house
abansoro dan atifi;attic
abansoro so;storey
abansoro so;upstairs
abantenten a wɔde di dwuma;control tower
abantenten a ɛwɔ soro;tower over
abantenten a ɛwɔ soro;tower
abantenten a ɛyɛ twin;Twin Towers
abarimaa a ɔyɛ pintinn;stable boy
abarimaa ketewa bi;little boy
abarimaabere mu;boyhood
abarimawa;boy
abasa;arm
abasa a wɔde ahyɛ mu;armful
abasa a wɔde di dwuma;control arm
abasa biako;one-armed
abasa kosi sẽ so;arm to the teeth
abasa-akuturukubɔfo;arm-wrestler
abasamtu;dejected
abasamtu;dejection
abasamtu;dismay
abasamtu;frustrating
abasamtu a obi wɔ;despondency
abasamtu a wɔma ɛyɛ basaa;demoralization
abasamtu a ɛba;disappointment
abasamtu a ɛba;disillusionment
abasamtu a ɛma obi yɛ basaa;desperation
abasamtu a ɛma obi yɛ basaa;disenchantment
abasamtu a ɛma obi yɛ basaa;frustration
abasamtu mu;despondent
abasamtu mu;disappointing
abasamtufo;disappointer
abase;abase
abasement a wɔbrɛ wɔn ho ase;abasement
abash;abash
abasobɔ;complement
abasobɔde;medal
abasobɔdeɛ;award
abasobɔdeɛ;reward
abasobɔfo;fruiterer
abasɛm;story
abasɛm kyerɛwfo;storyteller
abasɛm nhoma;storybook
abata ho;stuck up
abate;abate
abatement a wɔtew so;abatement
abatire;shoulder
abatow;vote
abatow a wɔpaw;election
abatow a wɔtow;voting
abatow a ɛkyerɛ sɛ obi wɔ ahotoso;vote of confidence
abatow adaka a wɔde tow aba;ballot box
abatow krataa;ballot
abatow mantam;electoral district
abatow mu;electoral
abatow mu nsisi;electoral fraud
abatowfo;electorate
abatowfo;voter
abattoir;abattoir
abatwɛ;elbow
abayifo duruyɛfo;witch doctor
abayifo-abɔmmɔfo;witch-hunt
abayifoɔ;sorceress
abayisɛm;witchcraft
abbasidfoɔ;Abbasid
abbatial ho asɛm;abbatial
abbess a ɔyɛ ɔbaabun;abbess
abbey a ɛwɔ hɔ;abbey
abbeystead, asɔredan mu;abbeystead
abbot a ɔyɛ ɔbaabun;abbot
abciximab a wɔde di dwuma;abciximab
abdest;abdest
abdullah na ɔkyerɛwee;Abdullah
abeawa a wɔde wɔn ho hyɛ mu;girlish
abeawa a ɔbɔ dɔn;bellgirl
abeawa ketewa bi;little girl
abecedarianfo a ɔyɛ ɔbaabun;Abecedarian
abecedary a wɔde di dwuma;abecedary
abed;abed
abelard na ɔkyerɛwee;Abelard
abele;abele
abele;ice cream
abelian kuw bi;abelian group
abelian, a ɛyɛ abɛka;abelian
abelmosk a wɔde yɛ adwuma;abelmosk
aberanteɛ;youngster
abere;ripe
abere;ripen
aberrance a ɛyɛ nea ɛnteɛ;aberrance
aberrant a ɛyɛ nea ɛnteɛ;aberrant
aberration a ɛtwetwe adwene;aberration
abessive asɛm no;abessive case
abet;abet
abeyance a wɔde gyina hɔ;abeyance
abibifo anthrike;black antshrike
abibifo aseresɛm;black humor
abibifo atetesɛm;Black Legend
abibifo gua;black market
abibifo ho tan;Negrophobia
abidjan na ɔkyerɛwee;Abidjan
abien;dual
abien a wɔyɛ;duplicity
abigail;Abigail
abigeat a wɔde di dwuma;abigeat
abimelek;Abimelech
abiogenesis a ɛma nipadua no yɛ adwuma;abiogenesis
abiotic a ɛnyɛ nkwaboaa;abiotic
abira;opposite
abirabɔ;contradict
abirabɔ;contrast
abirabɔ a ɛne ne ho nhyia;discrepancy
abirabɔsɛm;contradiction
abirabɔsɛm;paradox
abirabɔsɛm;paradoxical
abirekyi;goatish
abirekyi nhwi;goatee
abisa;query
abisade a wɔde hwehwɛ nneɛma;solicitation
abisadeɛ;application
abisadeɛ;request
abiu;abiu
abiɛsa;triplet
abjad a wɔde di dwuma;abjad
abjure asɛm;abjure
abkhasiafo na wɔte saa;Abkhazia
abkhaz kasa mu;Abkhaz
ablation a wɔde yi nipadua no;ablation
ablative asɛm no;ablative case
ablaut a wɔde di dwuma;ablaut
ablution a wɔde twitwiw nipadua no;ablution
abnegate ho asɛm;abnegate
abnegation a wɔde ma;abnegation
abo a wɔakyerɛw so;petroglyph
abo a wɔde abo ayɛ;cobblestone
abo a wɔde ayɛ;masonry
abo a wɔde kyerɛw nsɛm;lithography
abo a wɔde tu fam;quarry
abo a wɔde yɛ owiyammo;millstone
abo ho adesua;lithology
abo ho mfoninitwafo;lithographer
abo mmere no;Stone Age
abo so ho mfonini;lithographic
abo so mfonini;lithograph
aboa;animal
aboa a wɔde nneɛma ahyɛ mu;stuffed animal
aboa a ɔkyere mmoa we;predator
aboa a ɔtwetwe nsu;draught animal
aboa a ɔyɛ adesoa;beast of burden
aboa nhoma;fleece
aboa nhoma atade;fur coat
aboa no dodow;Number of the Beast
aboa wedeɛ;fur
aboafo;auxiliary
aboawa;insect
aboawa;worm
aboawa bɔne;bug
abobɔdeɛ;glass
abodan foforo bere mu;Neolithic
